Cycle,SeqState,PlugInfo,FLAG_Stop,FLAG_Relay,Ia,Ib,Ic,FaultState,Charg_Cnt,Real_Battery_Voltage,Expected Battery_Voltage,H,CanMsg_Received,IsoR
1,0,0,1,0,0,0,0,0,0,398,400,15,1,800000
2,0,0,1,0,0,0,0,0,0,399,400,15,1,800000
3,0,0,1,0,0,0,0,0,0,400,400,15,1,800000
4,0,0,1,0,0,0,0,0,0,400,400,15,1,800000
5,0,0,1,0,0,0,0,0,0,400,400,15,1,800000
6,0,0,1,0,0,0,0,0,0,401,400,15,1,800000
7,0,0,1,0,0,0,0,0,0,400,400,15,1,800000
8,0,0,1,0,0,0,0,0,0,401,400,15,1,800000
9,0,0,1,0,0,0,0,0,0,399,400,15,1,800000
10,0,1,1,0,0,0,0,0,0,398,400,15,1,800000
11,1,1,1,0,0,0,0,0,0,398,400,15,1,800000
12,1,1,1,0,0,0,0,0,0,400,400,15,1,800000
13,1,1,1,0,0,0,0,0,0,399,400,15,1,800000
14,1,1,1,0,0,0,0,0,0,400,400,15,1,800000
15,1,1,1,0,0,0,0,0,0,398,400,15,1,800000
16,1,1,1,0,0,0,0,0,0,400,400,15,1,800000
17,1,1,1,0,0,0,0,0,0,398,400,15,1,800000
18,1,1,1,0,0,0,0,0,0,400,400,15,1,800000
19,1,1,1,0,0,0,0,0,0,399,400,15,1,800000
20,1,1,1,0,0,0,0,0,0,400,400,15,1,800000
21,1,1,1,0,0,0,0,0,0,398,400,15,1,800000
22,3,1,1,0,0,0,0,0,0,399,400,15,1,800000
23,3,1,1,0,0,0,0,0,0,400,400,15,1,800000
24,3,1,1,0,0,0,0,0,0,400,400,15,1,800000
25,3,1,1,0,0,0,0,0,0,400,400,15,1,800000
26,3,1,1,0,0,0,0,0,0,401,400,15,1,800000
27,3,1,1,0,0,0,0,0,0,400,400,15,1,800000
28,3,1,1,0,0,0,0,0,0,401,400,15,1,800000
29,3,1,1,0,0,0,0,0,0,399,400,16,1,800000
30,3,1,1,0,0,0,0,0,0,398,400,16,1,800000
31,3,1,1,0,0,0,0,0,0,399,400,16,1,800000
32,3,1,1,0,0,0,0,0,0,400,400,16,1,800000
